25210.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25220.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.017857144}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25230.0, {'360082': -0.013392857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.09821428}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25240.0, {'360082': -0.058035713, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.19196428}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25250.0, {'360082': -0.12053572, '360086': -0.035714287, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25260.0, {'360082': -0.02232143, '360086': -0.125, 'GS_cluster_2415878664_254486231_359566_359576': -0.102678575}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25270.0, {'360082': 0.0, '360086': -0.23660715, 'GS_cluster_2415878664_254486231_359566_359576': -0.14732143}, {'360082': 0, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25280.0, {'360082': -0.04464286, '360086': -0.3705357, 'GS_cluster_2415878664_254486231_359566_359576': -0.36160713}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 8}, 
25290.0, {'360082': -0.13839285, '360086': -0.36607143, 'GS_cluster_2415878664_254486231_359566_359576': -0.54910713}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 5, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25300.0, {'360082': -0.20089285, '360086': -0.39285713, 'GS_cluster_2415878664_254486231_359566_359576': -0.85714287}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
25310.0, {'360082': -0.3794643, '360086': -0.26785713, 'GS_cluster_2415878664_254486231_359566_359576': -1.2410715}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 5, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25320.0, {'360082': -0.53571427, '360086': -0.44642857, 'GS_cluster_2415878664_254486231_359566_359576': -1.8258928}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 5, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 14}, 
25330.0, {'360082': -0.64285713, '360086': -0.25, 'GS_cluster_2415878664_254486231_359566_359576': -2.513393}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 16}, 
25340.0, {'360082': -0.84821427, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -3.3035715}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 6, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 19}, 
25350.0, {'360082': -1.0535715, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 5, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 19}, 
25360.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 16}, 
25370.0, {'360082': -0.07589286, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 20}, 
25380.0, {'360082': -0.24107143, '360086': -0.02232143, 'GS_cluster_2415878664_254486231_359566_359576': -3.65625}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 17}, 
25390.0, {'360082': -0.035714287, '360086': -0.084821425, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 15}, 
25400.0, {'360082': -0.16517857, '360086': -0.04910714, 'GS_cluster_2415878664_254486231_359566_359576': -4.0}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 5}, {'360082': 4, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 19}, 
25410.0, {'360082': -0.38392857, '360086': -0.09375, 'GS_cluster_2415878664_254486231_359566_359576': -0.95089287}, {'360082': 6, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 6, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25420.0, {'360082': -0.23214285, '360086': -0.16517857, 'GS_cluster_2415878664_254486231_359566_359576': -0.6651786}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 10}, 
25430.0, {'360082': -0.004464286, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.09375}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 16}, 
25440.0, {'360082': -0.0625, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.6071428}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 14}, 
25450.0, {'360082': -0.09375, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.0401785}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 14}, 
25460.0, {'360082': -0.16071428, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.419643}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 15}, 
25470.0, {'360082': -0.3125, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -3.125}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 18}, 
25480.0, {'360082': -0.5223214, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.0491072}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 6, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 9}, 
25490.0, {'360082': -0.86160713, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.1071428}, {'360082': 3, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 9, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
25500.0, {'360082': -0.0625, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -1.4285715}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 2, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 13}, 
25510.0, {'360082': -0.16517857, '360086': -0.02232143, 'GS_cluster_2415878664_254486231_359566_359576': -1.5758928}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 12}, 
25520.0, {'360082': -0.35714287, '360086': -0.116071425, 'GS_cluster_2415878664_254486231_359566_359576': -1.8571428}, {'360082': 6, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 6, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 14}, 
25530.0, {'360082': -0.50446427, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -2.1026785}, {'360082': 7, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, {'360082': 7, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 11}, 
